#1
double	Pel(35040,2)
813600	0.1820
814500	0.1835
815400	0.1850
816300	0.1865
817200	0.1883
818100	0.1904
819000	0.1929
819900	0.1961
820800	0.1998
821700	0.2041
822600	0.2084
823500	0.2116
824400	0.2134
825300	0.2129
826200	0.2106
827100	0.2071
828000	0.2030
828900	0.1987
829800	0.1947
830700	0.1908
831600	0.1873
832500	0.1841
833400	0.1815
834300	0.1793
835200	0.1778
836100	0.1771
837000	0.1781
837900	0.1821
838800	0.1904
839700	0.2035
840600	0.2194
841500	0.2355
842400	0.2490
843300	0.2579
844200	0.2628
845100	0.2653
846000	0.2667
846900	0.2679
847800	0.2677
848700	0.2644
849600	0.2563
850500	0.2424
851400	0.2250
852300	0.2066
853200	0.1904
854100	0.1783
855000	0.1700
855900	0.1646
856800	0.1611
857700	0.1585
858600	0.1560
859500	0.1528
860400	0.1485
861300	0.1425
862200	0.1350
863100	0.1267
864000	0.1183
864900	0.1100
865800	0.1020
866700	0.0943
867600	0.0869
868500	0.0797
869400	0.0732
870300	0.0674
871200	0.0627
872100	0.0595
873000	0.0572
873900	0.0556
874800	0.0544
875700	0.0533
876600	0.0522
877500	0.0512
878400	0.0503
879300	0.0494
880200	0.0488
881100	0.0484
882000	0.0482
882900	0.0482
883800	0.0483
884700	0.0487
885600	0.0492
886500	0.0499
887400	0.0508
888300	0.0519
889200	0.0533
890100	0.0553
891000	0.0586
891900	0.0643
892800	0.0733
893700	0.0863
894600	0.1022
895500	0.1197
896400	0.1371
897300	0.1533
898200	0.1681
899100	0.1816
900000	0.1937
900900	0.2045
901800	0.2144
902700	0.2238
903600	0.2334
904500	0.2431
905400	0.2523
906300	0.2598
907200	0.2648
908100	0.2663
909000	0.2643
909900	0.2589
910800	0.2501
911700	0.2384
912600	0.2247
913500	0.2104
914400	0.1968
915300	0.1849
916200	0.1747
917100	0.1661
918000	0.1591
918900	0.1534
919800	0.1485
920700	0.1444
921600	0.1402
922500	0.1362
923400	0.1332
924300	0.1323
925200	0.1351
926100	0.1420
927000	0.1520
927900	0.1635
928800	0.1748
929700	0.1846
930600	0.1930
931500	0.2008
932400	0.2082
933300	0.2157
934200	0.2218
935100	0.2252
936000	0.2240
936900	0.2174
937800	0.2071
938700	0.1957
939600	0.1852
940500	0.1778
941400	0.1725
942300	0.1681
943200	0.1632
944100	0.1569
945000	0.1491
945900	0.1403
946800	0.1308
947700	0.1210
948600	0.1112
949500	0.1015
950400	0.0920
951300	0.0850
952200	0.0765
953100	0.0691
954000	0.0628
954900	0.0581
955800	0.0549
956700	0.0527
957600	0.0513
958500	0.0504
959400	0.0498
960300	0.0496
961200	0.0492
962100	0.0488
963000	0.0486
963900	0.0482
964800	0.0482
965700	0.0483
966600	0.0488
967500	0.0494
968400	0.0503
969300	0.0515
970200	0.0542
971100	0.0600
972000	0.0702
972900	0.0856
973800	0.1042
974700	0.1233
975600	0.1403
976500	0.1530
977400	0.1617
978300	0.1670
979200	0.1696
980100	0.1703
981000	0.1696
981900	0.1675
982800	0.1644
983700	0.1607
984600	0.1568
985500	0.1529
986400	0.1497
987300	0.1476
988200	0.1462
989100	0.1456
990000	0.1456
990900	0.1461
991800	0.1472
992700	0.1493
993600	0.1529
994500	0.1578
995400	0.1631
996300	0.1673
997200	0.1696
998100	0.1688
999000	0.1657
999900	0.1610
1000800	0.1560
1001700	0.1512
1002600	0.1469
1003500	0.1430
1004400	0.1393
1005300	0.1357
1006200	0.1327
1007100	0.1302
1008000	0.1288
1008900	0.1286
1009800	0.1298
1010700	0.1329
1011600	0.1383
1012500	0.1459
1013400	0.1556
1014300	0.1668
1015200	0.1790
1016100	0.1917
1017000	0.2041
1017900	0.2154
1018800	0.2251
1019700	0.2324
1020600	0.2368
1021500	0.2377
1022400	0.2345
1023300	0.2273
1024200	0.2173
1025100	0.2062
1026000	0.1958
1026900	0.1873
1027800	0.1804
1028700	0.1741
1029600	0.1676
1030500	0.1600
1031400	0.1516
1032300	0.1425
1033200	0.1330
1034100	0.1233
1035000	0.1135
1035900	0.1038
1036800	0.0942
1037700	0.0851
1038600	0.0765
1039500	0.0691
1040400	0.0628
1041300	0.0581
1042200	0.0549
1043100	0.0527
1044000	0.0514
1044900	0.0505
1045800	0.0498
1046700	0.0496
1047600	0.0492
1048500	0.0488
1049400	0.0486
1050300	0.0482
1051200	0.0482
1052100	0.0483
1053000	0.0488
1053900	0.0495
1054800	0.0503
1055700	0.0515
1056600	0.0542
1057500	0.0600
1058400	0.0702
1059300	0.0856
1060200	0.1042
1061100	0.1233
1062000	0.1403
1062900	0.1530
1063800	0.1617
1064700	0.1670
1065600	0.1697
1066500	0.1704
1067400	0.1697
1068300	0.1675
1069200	0.1645
1070100	0.1607
1071000	0.1568
1071900	0.1529
1072800	0.1498
1073700	0.1476
1074600	0.1462
1075500	0.1456
1076400	0.1456
1077300	0.1461
1078200	0.1473
1079100	0.1494
1080000	0.1529
1080900	0.1578
1081800	0.1631
1082700	0.1674
1083600	0.1697
1084500	0.1689
1085400	0.1658
1086300	0.1611
1087200	0.1561
1088100	0.1513
1089000	0.1470
1089900	0.1431
1090800	0.1393
1091700	0.1358
1092600	0.1328
1093500	0.1303
1094400	0.1289
1095300	0.1286
1096200	0.1299
1097100	0.1329
1098000	0.1383
1098900	0.1460
1099800	0.1557
1100700	0.1669
1101600	0.1791
1102500	0.1918
1103400	0.2041
1104300	0.2155
1105200	0.2252
1106100	0.2325
1107000	0.2369
1107900	0.2377
1108800	0.2346
1109700	0.2274
1110600	0.2174
1111500	0.2063
1112400	0.1958
1113300	0.1874
1114200	0.1805
1115100	0.1742
1116000	0.1676
1116900	0.1601
1117800	0.1517
1118700	0.1426
1119600	0.1330
1120500	0.1233
1121400	0.1135
1122300	0.1038
1123200	0.0943
1124100	0.0851
1125000	0.0765
1125900	0.0691
1126800	0.0628
1127700	0.0582
1128600	0.0549
1129500	0.0528
1130400	0.0514
1131300	0.0505
1132200	0.0499
1133100	0.0496
1134000	0.0492
1134900	0.0488
1135800	0.0486
1136700	0.0482
1137600	0.0482
1138500	0.0483
1139400	0.0488
1140300	0.0495
1141200	0.0504
1142100	0.0515
1143000	0.0543
1143900	0.0601
1144800	0.0703
1145700	0.0856
1146600	0.1042
1147500	0.1234
1148400	0.1404
1149300	0.1531
1150200	0.1618
1151100	0.1671
1152000	0.1697
1152900	0.1705
1153800	0.1697
1154700	0.1676
1155600	0.1645
1156500	0.1608
1157400	0.1569
1158300	0.1530
1159200	0.1498
1160100	0.1477
1161000	0.1463
1161900	0.1457
1162800	0.1457
1163700	0.1462
1164600	0.1473
1165500	0.1494
1166400	0.1530
1167300	0.1579
1168200	0.1632
1169100	0.1674
1170000	0.1697
1170900	0.1690
1171800	0.1658
1172700	0.1611
1173600	0.1561
1174500	0.1513
1175400	0.1470
1176300	0.1431
1177200	0.1394
1178100	0.1358
1179000	0.1328
1179900	0.1303
1180800	0.1289
1181700	0.1287
1182600	0.1299
1183500	0.1329
1184400	0.1384
1185300	0.1460
1186200	0.1557
1187100	0.1669
1188000	0.1792
1188900	0.1919
1189800	0.2042
1190700	0.2155
1191600	0.2252
1192500	0.2325
1193400	0.2369
1194300	0.2378
1195200	0.2347
1196100	0.2275
1197000	0.2174
1197900	0.2063
1198800	0.1959
1199700	0.1875
1200600	0.1805
1201500	0.1742
1202400	0.1677
1203300	0.1601
1204200	0.1517
1205100	0.1426
1206000	0.1331
1206900	0.1234
1207800	0.1136
1208700	0.1039
1209600	0.0943
1210500	0.0851
1211400	0.0766
1212300	0.0691
1213200	0.0628
1214100	0.0582
1215000	0.0549
1215900	0.0528
1216800	0.0514
1217700	0.0505
1218600	0.0499
1219500	0.0496
1220400	0.0492
1221300	0.0489
1222200	0.0486
1223100	0.0482
1224000	0.0482
1224900	0.0484
1225800	0.0489
1226700	0.0495
1227600	0.0504
1228500	0.0515
1229400	0.0543
1230300	0.0601
1231200	0.0703
1232100	0.0856
1233000	0.1043
1233900	0.1234
1234800	0.1404
1235700	0.1531
1236600	0.1618
1237500	0.1671
1238400	0.1697
1239300	0.1705
1240200	0.1697
1241100	0.1676
1242000	0.1646
1242900	0.1608
1243800	0.1569
1244700	0.1530
1245600	0.1498
1246500	0.1477
1247400	0.1463
1248300	0.1457
1249200	0.1457
1250100	0.1462
1251000	0.1473
1251900	0.1495
1252800	0.1530
1253700	0.1579
1254600	0.1632
1255500	0.1675
1256400	0.1697
1257300	0.1690
1258200	0.1658
1259100	0.1612
1260000	0.1561
1260900	0.1514
1261800	0.1471
1262700	0.1432
1263600	0.1394
1264500	0.1359
1265400	0.1328
1266300	0.1303
1267200	0.1289
1268100	0.1287
1269000	0.1300
1269900	0.1330
1270800	0.1384
1271700	0.1461
1272600	0.1558
1273500	0.1670
1274400	0.1792
1275300	0.1919
1276200	0.2042
1277100	0.2156
1278000	0.2253
1278900	0.2326
1279800	0.2370
