#1
double	presence(8760,2)
3387600	1.0
3391200	0.862
3394800	0.621
3398400	0.483
3402000	0.172
3405600	0.207
3409200	0.172
3412800	0.345
3416400	0.517
3420000	0.345
3423600	0.379
3427200	0.345
3430800	0.448
3434400	0.483
3438000	0.69
3441600	0.862
3445200	0.862
3448800	1.0
3452400	1.0
3456000	1.0
3459600	1.0
3463200	1.0
3466800	1.0
3470400	1.0
3474000	1.0
3477600	0.862
3481200	0.621
3484800	0.483
3488400	0.172
3492000	0.207
3495600	0.172
3499200	0.345
3502800	0.517
3506400	0.345
3510000	0.379
3513600	0.345
3517200	0.448
3520800	0.483
3524400	0.69
3528000	0.862
3531600	0.862
3535200	1.0
3538800	1.0
3542400	1.0
3546000	1.0
3549600	1.0
3553200	1.0
3556800	1.0
3560400	1.0
3564000	0.862
3567600	0.621
3571200	0.483
3574800	0.172
3578400	0.207
3582000	0.172
3585600	0.345
3589200	0.517
3592800	0.345
3596400	0.379
3600000	0.345
3603600	0.448
3607200	0.483
3610800	0.69
3614400	0.862
3618000	0.862
3621600	1.0
3625200	1.0
3628800	1.0
3632400	1.0
3636000	1.0
3639600	1.0
3643200	1.0
3646800	1.0
3650400	0.862
3654000	0.621
3657600	0.483
3661200	0.172
3664800	0.207
3668400	0.172
3672000	0.345
3675600	0.517
3679200	0.345
3682800	0.379
3686400	0.345
3690000	0.448
3693600	0.483
3697200	0.69
3700800	0.862
3704400	0.862
3708000	1.0
3711600	1.0
3715200	1.0
3718800	1.0
3722400	1.0
3726000	1.0
3729600	1.0
3733200	1.0
3736800	0.862
3740400	0.621
3744000	0.483
3747600	0.172
3751200	0.207
3754800	0.172
3758400	0.345
3762000	0.517
3765600	0.345
3769200	0.379
3772800	0.345
3776400	0.448
3780000	0.483
3783600	0.69
3787200	0.862
3790800	0.862
3794400	1.0
3798000	1.0
3801600	0.996
3805200	0.996
3808800	0.996
3812400	1.0
3816000	1.0
3819600	0.996
3823200	0.822
3826800	0.724
3830400	0.655
3834000	0.552
3837600	0.448
3841200	0.31
3844800	0.586
3848400	0.655
3852000	0.552
3855600	0.483
3859200	0.448
3862800	0.483
3866400	0.517
3870000	0.69
3873600	0.759
3877200	0.793
3880800	0.793
3884400	0.966
3888000	0.996
3891600	0.996
3895200	1.0
3898800	1.0
3902400	1.0
3906000	0.996
3909600	0.822
3913200	0.724
3916800	0.655
3920400	0.552
3924000	0.448
3927600	0.31
3931200	0.586
3934800	0.655
3938400	0.552
3942000	0.483
3945600	0.448
3949200	0.483
3952800	0.517
3956400	0.69
3960000	0.759
3963600	0.793
3967200	0.793
3970800	0.966
3974400	1.0
3978000	1.0
3981600	1.0
3985200	1.0
3988800	1.0
3992400	1.0
3996000	0.862
3999600	0.621
4003200	0.483
4006800	0.172
4010400	0.207
4014000	0.172
4017600	0.345
4021200	0.517
4024800	0.345
4028400	0.379
4032000	0.345
4035600	0.448
4039200	0.483
4042800	0.69
4046400	0.862
4050000	0.862
4053600	1.0
4057200	1.0
4060800	1.0
4064400	1.0
4068000	1.0
4071600	1.0
4075200	1.0
4078800	1.0
4082400	0.862
4086000	0.621
4089600	0.483
4093200	0.172
4096800	0.207
4100400	0.172
4104000	0.345
4107600	0.517
4111200	0.345
4114800	0.379
4118400	0.345
4122000	0.448
4125600	0.483
4129200	0.69
4132800	0.862
4136400	0.862
4140000	1.0
4143600	1.0
4147200	1.0
4150800	1.0
4154400	1.0
4158000	1.0
4161600	1.0
4165200	1.0
4168800	0.862
4172400	0.621
4176000	0.483
4179600	0.172
4183200	0.207
4186800	0.172
4190400	0.345
4194000	0.517
4197600	0.345
4201200	0.379
4204800	0.345
4208400	0.448
4212000	0.483
4215600	0.69
4219200	0.862
4222800	0.862
4226400	1.0
4230000	1.0
4233600	1.0
4237200	1.0
4240800	1.0
4244400	1.0
4248000	1.0
4251600	1.0
4255200	0.862
4258800	0.621
4262400	0.483
4266000	0.172
4269600	0.207
4273200	0.172
4276800	0.345
4280400	0.517
4284000	0.345
4287600	0.379
4291200	0.345
4294800	0.448
4298400	0.483
4302000	0.69
4305600	0.862
4309200	0.862
4312800	1.0
4316400	1.0
4320000	1.0
4323600	1.0
4327200	1.0
4330800	1.0
4334400	1.0
4338000	1.0
4341600	0.862
4345200	0.621
4348800	0.483
4352400	0.172
4356000	0.207
4359600	0.172
4363200	0.345
4366800	0.517
4370400	0.345
4374000	0.379
4377600	0.345
4381200	0.448
4384800	0.483
4388400	0.69
4392000	0.862
4395600	0.862
4399200	1.0
4402800	1.0
4406400	0.996
4410000	0.996
4413600	0.996
4417200	1.0
4420800	1.0
4424400	0.996
4428000	0.822
4431600	0.724
4435200	0.655
4438800	0.552
4442400	0.448
4446000	0.31
4449600	0.586
4453200	0.655
4456800	0.552
4460400	0.483
4464000	0.448
4467600	0.483
4471200	0.517
